Filename	start	end	avg pitch
Alan_Carr_1.wav	0	7.242743764172336	177.96249439876664
Alan_Carr_2.wav	0	6.457369614512472	143.64362601870616
Alan_Carr_3.wav	0	5.5626530612244895	125.0486588655972
Alan_Cumming_1.wav	0	8.003809523809524	112.42107478757383
Alan_Cumming_2.wav	0	9.963356009070294	168.44968900312153
Anderson_Cooper_1.wav	0	13.131315192743765	120.24677707963674
Anderson_Cooper_2.wav	0	11.420498866213151	134.68950402735737
Andrew_Rannells_1.wav	0	8.203265306122448	112.5561287757114
Andrew_Rannells_2.wav	0	8.004716553287983	130.5430585544319
Andrew_Scott_1.wav	0	3.9880045351473923	145.62816184922
Andrew_Scott_2.wav	0	16.369319727891156	102.80073492028333
George_Takei_1.wav	0	13.790113378684808	128.5511842583326
George_Takei_2.wav	0	10.442789115646258	140.2090431485592
Ian_McKellen_1.wav	0	12.053356009070296	119.5582423077154
Ian_McKellen_2.wav	0	8.231972789115646	136.31282153625205
Jim_Parsons_1.wav	0	10.866031746031746	124.6818503386121
Jim_Parsons_2.wav	0	4.651723356009071	129.55806760785157
Jonathan_Groff_1.wav	0	9.17920634920635	119.94210798070476
Jonathan_Groff_2.wav	0	7.519863945578232	143.45197222943426
Luke_Evans_1.wav	0	11.253514739229026	104.49399168593928
Luke_Evans_2.wav	0	8.538117913832199	118.66706082031446
Matt_Bomer_1.wav	0	9.123764172335601	168.25916120426206
Matt_Bomer_2.wav	0	8.020181405895691	118.1843197527867
Sean_Hayes_1.wav	0	6.71297052154195	109.05126891166431
Sean_Hayes_2.wav	0	8.556643990929706	161.23249177376744
Victor_Garber_1.wav	0	12.737913832199547	162.5083238308604
Victor_Garber_2.wav	0	11.53859410430839	140.6625193998605
Wilson_Cruz_1.wav	0	12.245918367346938	178.0486925588954
Wilson_Cruz_2.wav	0	10.597120181405895	235.37305262186226
